epoch,error,weights
1,2,"[0.0, 0.14000000000000012, -0.019999999999999907, -0.2600000000000001, -0.22000000000000003]"
2,3,"[-0.2, -0.7399999999999998, -0.7399999999999999, -0.8000000000000002, -0.48000000000000004]"
3,2,"[-0.2, -0.5999999999999996, -0.7599999999999998, -1.0600000000000003, -0.7000000000000001]"
4,2,"[-0.2, -0.4599999999999995, -0.7799999999999997, -1.3200000000000003, -0.9200000000000002]"
5,2,"[-0.2, -0.3199999999999994, -0.7999999999999996, -1.5800000000000005, -1.1400000000000001]"
6,2,"[-0.2, -0.17999999999999927, -0.8199999999999995, -1.8400000000000007, -1.36]"
7,2,"[-0.2, -0.19999999999999907, -0.7799999999999995, -2.080000000000001, -1.5]"
8,3,"[0.0, 1.0800000000000012, -0.23999999999999944, -1.4400000000000013, -1.46]"
9,3,"[-0.2, 0.2000000000000013, -0.9599999999999994, -1.9800000000000013, -1.72]"
10,2,"[-0.2, 0.4400000000000015, -0.8599999999999993, -2.0600000000000014, -1.8199999999999998]"
11,2,"[-0.2, 0.5800000000000016, -0.8799999999999992, -2.3200000000000016, -2.04]"
12,2,"[-0.2, 0.8200000000000018, -0.7799999999999991, -2.4000000000000017, -2.14]"
13,2,"[-0.2, 0.960000000000002, -0.799999999999999, -2.660000000000002, -2.3600000000000003]"
14,2,"[-0.2, 1.2000000000000022, -0.699999999999999, -2.740000000000002, -2.4600000000000004]"
15,4,"[-0.2, 1.4600000000000024, -0.8799999999999989, -2.3400000000000025, -2.420000000000001]"
16,4,"[-0.2, 1.8600000000000028, -0.9599999999999987, -1.9800000000000026, -2.380000000000001]"
17,4,"[-0.2, 2.160000000000003, -1.0399999999999987, -1.5600000000000027, -2.280000000000001]"
18,3,"[-0.4, 1.2800000000000027, -1.759999999999999, -2.1000000000000028, -2.5400000000000014]"
19,2,"[-0.4, 1.4200000000000028, -1.779999999999999, -2.360000000000003, -2.7600000000000016]"
20,2,"[-0.4, 1.660000000000003, -1.6799999999999988, -2.440000000000003, -2.8600000000000017]"
21,2,"[-0.4, 1.8000000000000032, -1.6999999999999988, -2.7000000000000033, -3.080000000000002]"
22,2,"[-0.4, 2.0400000000000036, -1.5999999999999988, -2.7800000000000034, -3.180000000000002]"
23,4,"[-0.4000000000000001, 2.480000000000004, -1.5799999999999987, -2.4200000000000035, -3.1400000000000023]"
24,4,"[-0.4000000000000001, 2.7400000000000038, -1.7399999999999989, -2.0600000000000036, -3.1400000000000023]"
25,3,"[-0.6000000000000001, 1.9600000000000037, -2.339999999999999, -2.4200000000000035, -3.2800000000000025]"
26,2,"[-0.6000000000000001, 2.2000000000000037, -2.239999999999999, -2.5000000000000036, -3.3800000000000026]"
27,2,"[-0.6000000000000001, 2.440000000000004, -2.139999999999999, -2.5800000000000036, -3.4800000000000026]"
28,4,"[-0.6000000000000001, 2.8400000000000043, -2.219999999999999, -2.2200000000000037, -3.440000000000003]"
29,4,"[-0.6000000000000001, 3.220000000000004, -2.279999999999999, -1.8200000000000038, -3.3800000000000034]"
30,3,"[-0.8, 2.440000000000004, -2.879999999999999, -2.1800000000000037, -3.5200000000000036]"
31,2,"[-0.8, 2.5800000000000045, -2.899999999999999, -2.440000000000004, -3.7400000000000038]"
32,2,"[-0.8, 2.8200000000000047, -2.799999999999999, -2.520000000000004, -3.840000000000004]"
33,4,"[-0.8, 3.260000000000005, -2.779999999999999, -2.160000000000004, -3.8000000000000043]"
34,4,"[-0.8, 3.4200000000000053, -2.959999999999999, -1.9200000000000041, -3.7800000000000047]"
35,5,"[-1.0, 2.200000000000006, -3.6399999999999992, -2.8200000000000047, -4.100000000000005]"
36,3,"[-0.8, 3.6200000000000063, -3.019999999999999, -2.180000000000005, -4.020000000000005]"
37,5,"[-1.0, 2.6600000000000064, -3.579999999999999, -2.820000000000005, -4.280000000000005]"
38,4,"[-1.0, 2.8600000000000065, -3.379999999999999, -3.1400000000000055, -4.480000000000004]"
39,4,"[-1.0, 2.8200000000000065, -3.339999999999999, -3.6200000000000054, -4.700000000000004]"
40,3,"[-0.8, 4.240000000000007, -2.719999999999999, -2.9800000000000058, -4.620000000000004]"
41,5,"[-1.0, 3.040000000000007, -3.439999999999999, -3.7800000000000056, -4.900000000000004]"
42,3,"[-0.8, 4.460000000000008, -2.819999999999999, -3.140000000000006, -4.820000000000004]"
43,5,"[-1.0, 3.8600000000000083, -3.4799999999999986, -2.860000000000006, -4.700000000000004]"
44,4,"[-1.0, 4.260000000000009, -3.5599999999999987, -2.500000000000006, -4.660000000000004]"
45,4,"[-1.0, 4.420000000000009, -3.739999999999999, -2.260000000000006, -4.640000000000003]"
46,5,"[-1.2, 3.3000000000000096, -4.419999999999998, -3.0200000000000062, -4.960000000000003]"
47,3,"[-1.0, 4.580000000000011, -3.879999999999998, -2.3800000000000066, -4.920000000000003]"
48,5,"[-1.2, 3.4600000000000115, -4.559999999999999, -3.140000000000007, -5.240000000000002]"
49,3,"[-1.0, 4.740000000000013, -4.019999999999999, -2.500000000000007, -5.200000000000002]"
50,5,"[-1.2, 3.520000000000013, -4.719999999999998, -3.4000000000000075, -5.520000000000002]"
51,3,"[-1.0, 4.940000000000014, -4.099999999999998, -2.760000000000008, -5.440000000000002]"
52,4,"[-1.0, 5.100000000000014, -4.2799999999999985, -2.5200000000000076, -5.420000000000002]"
53,5,"[-1.2, 4.600000000000015, -4.8199999999999985, -2.420000000000008, -5.440000000000001]"
54,4,"[-1.2, 5.000000000000015, -4.899999999999999, -2.060000000000008, -5.400000000000001]"
55,5,"[-1.4, 3.880000000000015, -5.579999999999998, -2.8200000000000083, -5.720000000000001]"
56,3,"[-1.2, 5.160000000000016, -5.039999999999998, -2.1800000000000086, -5.680000000000001]"
57,5,"[-1.4, 3.880000000000017, -5.759999999999998, -3.1400000000000086, -6.0600000000000005]"
58,3,"[-1.2, 5.300000000000018, -5.139999999999997, -2.500000000000009, -5.98]"
59,5,"[-1.4, 4.160000000000018, -5.799999999999997, -3.420000000000009, -6.34]"
60,3,"[-1.2, 5.580000000000019, -5.179999999999996, -2.780000000000009, -6.26]"
61,5,"[-1.4, 4.500000000000019, -5.819999999999997, -3.6400000000000095, -6.56]"
62,3,"[-1.2, 5.9200000000000195, -5.199999999999996, -3.0000000000000098, -6.4799999999999995]"
63,5,"[-1.4, 5.52000000000002, -5.619999999999995, -2.72000000000001, -6.379999999999999]"
64,5,"[-1.5999999999999999, 4.72000000000002, -6.139999999999994, -3.36000000000001, -6.639999999999999]"
65,3,"[-1.4, 6.140000000000021, -5.519999999999994, -2.7200000000000104, -6.559999999999999]"
66,5,"[-1.5999999999999999, 5.640000000000021, -6.059999999999993, -2.6200000000000108, -6.579999999999998]"
67,5,"[-1.7999999999999998, 4.840000000000021, -6.579999999999994, -3.260000000000011, -6.839999999999998]"
68,3,"[-1.5999999999999999, 6.260000000000022, -5.959999999999994, -2.620000000000011, -6.759999999999998]"
69,5,"[-1.7999999999999998, 5.860000000000022, -6.379999999999993, -2.340000000000011, -6.6599999999999975]"
70,5,"[-1.9999999999999998, 4.920000000000022, -6.979999999999993, -2.980000000000011, -6.959999999999997]"
71,4,"[-1.9999999999999998, 5.140000000000023, -6.799999999999993, -3.3400000000000114, -7.179999999999997]"
72,3,"[-1.7999999999999998, 6.560000000000024, -6.179999999999993, -2.7000000000000117, -7.099999999999997]"
73,5,"[-1.9999999999999998, 6.160000000000024, -6.599999999999992, -2.420000000000012, -6.9999999999999964]"
74,5,"[-2.1999999999999997, 5.220000000000025, -7.199999999999992, -3.060000000000012, -7.299999999999996]"
75,4,"[-2.1999999999999997, 5.440000000000025, -7.019999999999992, -3.4200000000000124, -7.519999999999996]"
76,4,"[-2.1999999999999997, 5.660000000000026, -6.839999999999992, -3.7800000000000127, -7.739999999999996]"
77,6,"[-2.1999999999999997, 5.940000000000026, -6.63999999999999, -3.620000000000013, -7.779999999999995]"
78,4,"[-2.1999999999999997, 6.480000000000026, -6.4999999999999885, -3.080000000000013, -7.619999999999995]"
79,4,"[-2.1999999999999997, 6.880000000000026, -6.579999999999988, -2.720000000000013, -7.579999999999995]"
80,5,"[-2.4, 6.480000000000026, -6.999999999999987, -2.4400000000000133, -7.479999999999994]"
81,5,"[-2.6, 5.540000000000027, -7.599999999999987, -3.0800000000000134, -7.779999999999994]"
82,4,"[-2.6, 5.760000000000027, -7.419999999999987, -3.4400000000000137, -7.999999999999994]"
83,3,"[-2.4, 7.180000000000028, -6.7999999999999865, -2.800000000000014, -7.919999999999994]"
84,5,"[-2.6, 6.780000000000029, -7.2199999999999855, -2.5200000000000142, -7.819999999999994]"
85,5,"[-2.8000000000000003, 5.840000000000029, -7.819999999999986, -3.1600000000000144, -8.119999999999994]"
86,4,"[-2.8000000000000003, 6.06000000000003, -7.6399999999999855, -3.5200000000000147, -8.339999999999995]"
87,4,"[-2.8000000000000003, 6.2800000000000304, -7.459999999999986, -3.880000000000015, -8.559999999999995]"
88,6,"[-2.8000000000000003, 6.560000000000031, -7.259999999999984, -3.7200000000000153, -8.599999999999996]"
89,4,"[-2.8000000000000003, 7.10000000000003, -7.119999999999982, -3.1800000000000153, -8.439999999999996]"
90,4,"[-2.8000000000000003, 7.50000000000003, -7.1999999999999815, -2.8200000000000154, -8.399999999999995]"
91,5,"[-3.0000000000000004, 7.10000000000003, -7.619999999999981, -2.5400000000000156, -8.299999999999995]"
92,5,"[-3.2000000000000006, 6.04000000000003, -8.27999999999998, -3.4400000000000155, -8.619999999999994]"
93,4,"[-3.2000000000000006, 6.3600000000000305, -7.979999999999979, -3.6200000000000156, -8.719999999999995]"
94,3,"[-3.0000000000000004, 7.780000000000031, -7.359999999999978, -2.980000000000016, -8.639999999999995]"
95,5,"[-3.2000000000000006, 7.380000000000031, -7.779999999999977, -2.7000000000000157, -8.539999999999996]"
96,5,"[-3.400000000000001, 6.320000000000031, -8.439999999999976, -3.6000000000000156, -8.859999999999996]"
97,4,"[-3.400000000000001, 6.640000000000032, -8.139999999999976, -3.780000000000016, -8.959999999999997]"
98,6,"[-3.400000000000001, 6.860000000000031, -7.979999999999976, -3.6800000000000166, -9.059999999999997]"
99,6,"[-3.400000000000001, 7.1400000000000325, -7.7799999999999745, -3.520000000000017, -9.099999999999998]"
100,4,"[-3.400000000000001, 7.680000000000032, -7.639999999999973, -2.980000000000017, -8.939999999999998]"
101,7,"[-3.600000000000001, 6.940000000000033, -8.13999999999997, -3.100000000000017, -9.019999999999998]"
102,4,"[-3.600000000000001, 7.500000000000034, -7.999999999999969, -2.560000000000017, -8.839999999999998]"
103,5,"[-3.800000000000001, 6.440000000000036, -8.659999999999968, -3.460000000000017, -9.159999999999997]"
104,4,"[-3.800000000000001, 6.760000000000036, -8.359999999999967, -3.640000000000017, -9.259999999999998]"
105,3,"[-3.600000000000001, 8.180000000000037, -7.7399999999999665, -3.0000000000000173, -9.179999999999998]"
106,5,"[-3.8000000000000007, 7.780000000000037, -8.159999999999965, -2.720000000000017, -9.079999999999998]"
107,5,"[-4.000000000000001, 6.720000000000037, -8.819999999999963, -3.620000000000017, -9.399999999999997]"
108,4,"[-4.000000000000001, 7.040000000000037, -8.519999999999962, -3.800000000000017, -9.499999999999998]"
109,6,"[-4.000000000000001, 7.260000000000037, -8.35999999999996, -3.700000000000018, -9.599999999999998]"
110,6,"[-4.000000000000001, 7.540000000000038, -8.15999999999996, -3.5400000000000182, -9.639999999999999]"
111,4,"[-4.000000000000001, 8.080000000000037, -8.019999999999957, -3.000000000000018, -9.479999999999999]"
112,7,"[-4.200000000000001, 7.340000000000039, -8.519999999999955, -3.1200000000000183, -9.559999999999999]"
113,4,"[-4.200000000000001, 7.900000000000039, -8.379999999999953, -2.5800000000000183, -9.379999999999999]"
114,5,"[-4.400000000000001, 6.840000000000042, -9.039999999999951, -3.480000000000018, -9.699999999999998]"
115,4,"[-4.400000000000001, 7.160000000000042, -8.73999999999995, -3.6600000000000183, -9.799999999999999]"
116,6,"[-4.400000000000001, 7.200000000000044, -8.639999999999947, -3.820000000000019, -9.92]"
117,6,"[-4.400000000000001, 7.240000000000043, -8.539999999999948, -3.980000000000019, -10.040000000000001]"
118,6,"[-4.400000000000001, 7.280000000000042, -8.439999999999946, -4.140000000000019, -10.160000000000002]"
119,6,"[-4.400000000000001, 7.380000000000041, -8.319999999999943, -4.240000000000019, -10.220000000000002]"
120,6,"[-4.400000000000001, 7.480000000000042, -8.199999999999942, -4.3400000000000185, -10.280000000000003]"
121,6,"[-4.400000000000001, 7.540000000000042, -8.21999999999994, -4.3400000000000185, -10.340000000000002]"
122,6,"[-4.400000000000001, 7.580000000000044, -8.239999999999938, -4.460000000000019, -10.360000000000001]"
123,6,"[-4.400000000000001, 7.640000000000043, -8.259999999999936, -4.460000000000019, -10.42]"
124,6,"[-4.400000000000001, 7.6800000000000415, -8.279999999999934, -4.580000000000019, -10.44]"
125,6,"[-4.400000000000001, 7.880000000000042, -8.199999999999932, -4.600000000000019, -10.479999999999999]"
126,6,"[-4.400000000000001, 7.90000000000004, -8.21999999999993, -4.720000000000019, -10.519999999999998]"
127,6,"[-4.400000000000001, 7.92000000000004, -8.239999999999927, -4.840000000000019, -10.559999999999997]"
128,6,"[-4.400000000000001, 7.9400000000000395, -8.259999999999925, -4.9600000000000195, -10.599999999999996]"
129,6,"[-4.400000000000001, 8.12000000000004, -8.179999999999923, -4.98000000000002, -10.659999999999995]"
130,6,"[-4.400000000000001, 8.14000000000004, -8.199999999999921, -5.10000000000002, -10.699999999999994]"
131,6,"[-4.400000000000001, 8.16000000000004, -8.219999999999919, -5.22000000000002, -10.739999999999993]"
132,6,"[-4.400000000000001, 8.340000000000039, -8.139999999999917, -5.240000000000021, -10.799999999999992]"
133,6,"[-4.400000000000001, 8.32000000000004, -8.259999999999915, -5.360000000000021, -10.839999999999991]"
134,6,"[-4.400000000000001, 8.500000000000039, -8.179999999999913, -5.380000000000021, -10.89999999999999]"
135,6,"[-4.400000000000001, 8.520000000000039, -8.19999999999991, -5.380000000000022, -10.87999999999999]"
136,6,"[-4.400000000000001, 8.540000000000038, -8.219999999999908, -5.380000000000022, -10.85999999999999]"
137,6,"[-4.400000000000001, 8.520000000000039, -8.339999999999906, -5.500000000000022, -10.89999999999999]"
138,6,"[-4.400000000000001, 8.700000000000038, -8.259999999999904, -5.520000000000023, -10.959999999999988]"
139,6,"[-4.400000000000001, 8.720000000000038, -8.279999999999902, -5.520000000000023, -10.939999999999989]"
140,6,"[-4.400000000000001, 8.740000000000038, -8.2999999999999, -5.520000000000023, -10.91999999999999]"
141,6,"[-4.400000000000001, 8.720000000000038, -8.419999999999897, -5.640000000000023, -10.959999999999988]"
142,6,"[-4.400000000000001, 8.860000000000039, -8.439999999999895, -5.660000000000023, -11.019999999999987]"
143,6,"[-4.400000000000001, 8.880000000000038, -8.459999999999892, -5.660000000000023, -10.999999999999988]"
144,6,"[-4.400000000000001, 8.900000000000038, -8.47999999999989, -5.660000000000023, -10.979999999999988]"
145,6,"[-4.400000000000001, 8.920000000000037, -8.499999999999888, -5.660000000000023, -10.959999999999988]"
146,6,"[-4.400000000000001, 8.940000000000037, -8.519999999999886, -5.660000000000023, -10.939999999999989]"
147,6,"[-4.400000000000001, 8.960000000000036, -8.539999999999884, -5.660000000000023, -10.91999999999999]"
148,6,"[-4.400000000000001, 8.980000000000036, -8.559999999999881, -5.660000000000023, -10.89999999999999]"
149,6,"[-4.400000000000001, 9.000000000000036, -8.57999999999988, -5.660000000000023, -10.87999999999999]"
150,6,"[-4.400000000000001, 8.980000000000036, -8.699999999999877, -5.7800000000000225, -10.91999999999999]"
151,6,"[-4.400000000000001, 9.120000000000037, -8.719999999999875, -5.800000000000022, -10.979999999999988]"
152,6,"[-4.400000000000001, 9.140000000000036, -8.739999999999872, -5.800000000000022, -10.959999999999988]"
153,6,"[-4.400000000000001, 9.160000000000036, -8.75999999999987, -5.800000000000022, -10.939999999999989]"
154,6,"[-4.400000000000001, 9.180000000000035, -8.779999999999868, -5.800000000000022, -10.91999999999999]"
155,6,"[-4.400000000000001, 9.200000000000035, -8.799999999999866, -5.800000000000022, -10.89999999999999]"
156,6,"[-4.400000000000001, 9.220000000000034, -8.819999999999864, -5.800000000000022, -10.87999999999999]"
157,6,"[-4.400000000000001, 9.240000000000034, -8.839999999999861, -5.800000000000022, -10.85999999999999]"
158,6,"[-4.400000000000001, 9.260000000000034, -8.859999999999859, -5.800000000000022, -10.839999999999991]"
159,6,"[-4.400000000000001, 9.280000000000033, -8.879999999999857, -5.800000000000022, -10.819999999999991]"
160,6,"[-4.400000000000001, 9.260000000000034, -8.999999999999854, -5.920000000000021, -10.85999999999999]"
161,6,"[-4.400000000000001, 9.400000000000034, -9.019999999999852, -5.940000000000021, -10.91999999999999]"
162,6,"[-4.400000000000001, 9.420000000000034, -9.03999999999985, -5.940000000000021, -10.89999999999999]"
163,6,"[-4.400000000000001, 9.440000000000033, -9.059999999999848, -5.940000000000021, -10.87999999999999]"
164,6,"[-4.400000000000001, 9.460000000000033, -9.079999999999846, -5.940000000000021, -10.85999999999999]"
165,6,"[-4.400000000000001, 9.480000000000032, -9.099999999999843, -5.940000000000021, -10.839999999999991]"
166,6,"[-4.400000000000001, 9.500000000000032, -9.119999999999841, -5.940000000000021, -10.819999999999991]"
167,6,"[-4.400000000000001, 9.520000000000032, -9.139999999999839, -5.940000000000021, -10.799999999999992]"
168,6,"[-4.400000000000001, 9.540000000000031, -9.159999999999835, -5.940000000000021, -10.779999999999992]"
169,6,"[-4.400000000000001, 9.520000000000032, -9.279999999999832, -6.06000000000002, -10.819999999999991]"
170,6,"[-4.400000000000001, 9.660000000000032, -9.29999999999983, -6.08000000000002, -10.87999999999999]"
171,6,"[-4.400000000000001, 9.680000000000032, -9.319999999999828, -6.08000000000002, -10.85999999999999]"
172,6,"[-4.400000000000001, 9.700000000000031, -9.339999999999824, -6.08000000000002, -10.839999999999991]"
173,6,"[-4.400000000000001, 9.72000000000003, -9.35999999999982, -6.08000000000002, -10.819999999999991]"
174,6,"[-4.400000000000001, 9.74000000000003, -9.379999999999816, -6.08000000000002, -10.799999999999992]"
175,6,"[-4.400000000000001, 9.76000000000003, -9.399999999999812, -6.08000000000002, -10.779999999999992]"
176,6,"[-4.400000000000001, 9.78000000000003, -9.419999999999808, -6.08000000000002, -10.759999999999993]"
177,8,"[-4.400000000000001, 10.14000000000003, -9.459999999999804, -5.40000000000002, -10.579999999999993]"
178,7,"[-4.600000000000001, 9.22000000000003, -10.1399999999998, -5.480000000000019, -10.559999999999992]"
179,6,"[-4.600000000000001, 9.40000000000003, -10.059999999999798, -5.5000000000000195, -10.61999999999999]"
180,6,"[-4.600000000000001, 9.58000000000003, -9.979999999999796, -5.52000000000002, -10.679999999999989]"
181,6,"[-4.600000000000001, 9.54000000000003, -10.019999999999795, -5.700000000000021, -10.779999999999989]"
182,6,"[-4.600000000000001, 9.72000000000003, -9.939999999999793, -5.72000000000002, -10.839999999999987]"
183,6,"[-4.600000000000001, 9.74000000000003, -9.95999999999979, -5.72000000000002, -10.819999999999988]"
184,6,"[-4.600000000000001, 9.76000000000003, -9.979999999999785, -5.72000000000002, -10.799999999999988]"
185,6,"[-4.600000000000001, 9.78000000000003, -9.999999999999782, -5.72000000000002, -10.779999999999989]"
186,6,"[-4.600000000000001, 9.900000000000029, -10.019999999999778, -5.58000000000002, -10.75999999999999]"
187,6,"[-4.600000000000001, 10.00000000000003, -10.099999999999776, -5.5000000000000195, -10.839999999999987]"
188,6,"[-4.600000000000001, 10.100000000000032, -10.179999999999774, -5.4200000000000195, -10.919999999999986]"
189,7,"[-4.800000000000002, 9.640000000000033, -10.479999999999771, -5.240000000000019, -10.859999999999987]"
190,6,"[-4.800000000000002, 9.600000000000032, -10.51999999999977, -5.4200000000000195, -10.959999999999987]"
191,6,"[-4.800000000000002, 9.780000000000033, -10.439999999999769, -5.44000000000002, -11.019999999999985]"
192,6,"[-4.800000000000002, 9.940000000000031, -10.359999999999767, -5.30000000000002, -10.999999999999986]"
193,6,"[-4.800000000000002, 10.040000000000033, -10.439999999999765, -5.22000000000002, -11.079999999999984]"
194,6,"[-4.800000000000002, 10.140000000000034, -10.519999999999763, -5.14000000000002, -11.159999999999982]"
195,6,"[-4.800000000000002, 10.240000000000036, -10.599999999999762, -5.06000000000002, -11.23999999999998]"
196,7,"[-5.000000000000002, 9.520000000000035, -11.03999999999976, -5.14000000000002, -11.23999999999998]"
197,6,"[-5.000000000000002, 9.780000000000037, -10.819999999999757, -5.14000000000002, -11.31999999999998]"
198,6,"[-5.000000000000002, 10.060000000000036, -10.739999999999755, -5.020000000000021, -11.37999999999998]"
199,6,"[-5.000000000000002, 10.200000000000037, -10.719999999999754, -4.940000000000021, -11.459999999999978]"
200,6,"[-5.000000000000002, 10.300000000000038, -10.799999999999752, -4.860000000000021, -11.539999999999976]"
201,6,"[-5.000000000000002, 10.46000000000004, -10.83999999999975, -4.720000000000021, -11.559999999999976]"
202,7,"[-5.200000000000002, 9.680000000000042, -11.299999999999747, -4.860000000000021, -11.619999999999976]"
203,6,"[-5.200000000000002, 10.040000000000044, -11.079999999999744, -4.72000000000002, -11.699999999999976]"
204,6,"[-5.200000000000002, 10.180000000000044, -11.059999999999743, -4.64000000000002, -11.779999999999974]"
