epoch,error,weights
1,1,"[0.2, 1.26, 0.66, 1.2000000000000002, 0.5]"
2,3,"[0.0, 0.5199999999999999, 0.019999999999999907, 1.8400000000000003, 0.9199999999999999]"
3,3,"[-0.2, -0.6400000000000003, -0.6600000000000003, 1.8200000000000003, 1.0999999999999999]"
4,2,"[-0.2, -0.7800000000000005, -0.6400000000000002, 2.0800000000000005, 1.3199999999999998]"
5,2,"[-0.2, -0.9200000000000006, -0.6200000000000002, 2.3400000000000007, 1.5399999999999998]"
6,2,"[-0.2, -1.0600000000000007, -0.6000000000000002, 2.600000000000001, 1.7599999999999998]"
7,2,"[-0.2, -1.2000000000000008, -0.5800000000000002, 2.860000000000001, 1.9799999999999998]"
8,2,"[-0.2, -1.340000000000001, -0.5600000000000002, 3.1200000000000014, 2.1999999999999997]"
9,2,"[-0.2, -1.480000000000001, -0.5400000000000001, 3.3800000000000017, 2.42]"
10,2,"[-0.2, -1.6200000000000012, -0.5200000000000001, 3.640000000000002, 2.64]"
11,2,"[-0.2, -1.7600000000000013, -0.5000000000000001, 3.900000000000002, 2.8600000000000003]"
12,2,"[-0.2, -2.0000000000000018, -0.6000000000000001, 3.980000000000002, 2.9600000000000004]"
13,2,"[-0.2, -2.1400000000000023, -0.5800000000000002, 4.240000000000002, 3.1800000000000006]"
14,2,"[-0.2, -2.3800000000000026, -0.6800000000000002, 4.320000000000002, 3.2800000000000007]"
15,2,"[-0.2, -2.520000000000003, -0.6600000000000003, 4.580000000000002, 3.500000000000001]"
16,2,"[-0.2, -2.7600000000000033, -0.7600000000000002, 4.660000000000002, 3.600000000000001]"
17,2,"[-0.2, -2.900000000000004, -0.7400000000000003, 4.920000000000002, 3.820000000000001]"
18,2,"[-0.2, -3.140000000000004, -0.8400000000000003, 5.000000000000002, 3.9200000000000013]"
19,2,"[-0.2, -3.2800000000000047, -0.8200000000000004, 5.260000000000002, 4.1400000000000015]"
20,2,"[-0.2, -3.520000000000005, -0.9200000000000004, 5.340000000000002, 4.240000000000002]"
21,2,"[-0.2, -3.6600000000000055, -0.9000000000000005, 5.600000000000001, 4.460000000000003]"
22,2,"[-0.2, -3.9000000000000057, -1.0000000000000004, 5.6800000000000015, 4.560000000000002]"
23,2,"[-0.2, -4.040000000000006, -0.9800000000000005, 5.940000000000001, 4.780000000000002]"
24,2,"[-0.2, -4.2800000000000065, -1.0800000000000005, 6.020000000000001, 4.880000000000002]"
25,2,"[-0.2, -4.520000000000007, -1.1800000000000006, 6.100000000000001, 4.980000000000001]"
26,2,"[-0.2, -4.660000000000007, -1.1600000000000006, 6.360000000000001, 5.200000000000001]"
27,2,"[-0.2, -4.9000000000000075, -1.2600000000000007, 6.440000000000001, 5.300000000000001]"
28,2,"[-0.2, -5.020000000000008, -1.3600000000000008, 6.5600000000000005, 5.380000000000001]"
29,2,"[-0.2, -5.040000000000008, -1.3400000000000007, 6.86, 5.580000000000001]"
30,2,"[-0.2, -5.280000000000008, -1.4400000000000008, 6.9399999999999995, 5.680000000000001]"
31,2,"[-0.2, -5.400000000000008, -1.540000000000001, 7.059999999999999, 5.760000000000001]"
32,2,"[-0.2, -5.5200000000000085, -1.640000000000001, 7.179999999999998, 5.840000000000001]"
33,2,"[-0.2, -5.640000000000009, -1.740000000000001, 7.299999999999997, 5.920000000000001]"
34,2,"[-0.2, -5.760000000000009, -1.700000000000001, 7.519999999999997, 6.120000000000001]"
35,2,"[-0.2, -5.880000000000009, -1.8000000000000012, 7.639999999999997, 6.200000000000001]"
36,2,"[-0.2, -6.000000000000009, -1.9000000000000012, 7.759999999999996, 6.280000000000001]"
37,2,"[-0.2, -5.940000000000008, -1.8200000000000012, 7.979999999999997, 6.400000000000001]"
38,2,"[-0.2, -6.0600000000000085, -1.9200000000000013, 8.099999999999996, 6.480000000000001]"
39,2,"[-0.2, -6.180000000000009, -2.0200000000000014, 8.219999999999995, 6.560000000000001]"
40,2,"[-0.2, -6.300000000000009, -2.1200000000000014, 8.339999999999995, 6.6400000000000015]"
41,2,"[-0.2, -6.420000000000009, -2.2200000000000015, 8.459999999999994, 6.7200000000000015]"
42,2,"[-0.2, -6.640000000000009, -2.3000000000000016, 8.499999999999993, 6.800000000000002]"
43,2,"[-0.2, -6.580000000000009, -2.2200000000000015, 8.719999999999994, 6.920000000000002]"
44,2,"[-0.2, -6.700000000000009, -2.3200000000000016, 8.839999999999993, 7.000000000000002]"
45,2,"[-0.2, -6.920000000000009, -2.4000000000000017, 8.879999999999992, 7.080000000000002]"
46,2,"[-0.2, -6.860000000000008, -2.3200000000000016, 9.09999999999999, 7.200000000000002]"
47,2,"[-0.2, -6.9800000000000075, -2.4200000000000017, 9.21999999999999, 7.280000000000002]"
48,2,"[-0.2, -7.200000000000008, -2.5000000000000018, 9.25999999999999, 7.360000000000002]"
49,2,"[-0.2, -6.880000000000008, -2.3600000000000017, 9.639999999999988, 7.520000000000002]"
50,2,"[-0.2, -6.740000000000007, -2.4000000000000017, 9.919999999999987, 7.640000000000002]"
51,4,"[-0.20000000000000007, -6.780000000000007, -2.2800000000000016, 10.179999999999989, 7.940000000000002]"
52,3,"[-0.4000000000000001, -8.100000000000007, -2.9000000000000017, 9.47999999999999, 7.800000000000002]"
53,2,"[-0.4000000000000001, -8.020000000000007, -2.8800000000000017, 9.719999999999988, 7.940000000000001]"
54,2,"[-0.4000000000000001, -7.980000000000006, -2.9400000000000017, 9.839999999999987, 8.020000000000001]"
55,2,"[-0.4000000000000001, -7.960000000000006, -2.9600000000000017, 9.959999999999987, 8.140000000000002]"
56,2,"[-0.4000000000000001, -7.940000000000007, -2.9800000000000018, 10.079999999999986, 8.260000000000003]"
57,2,"[-0.4000000000000001, -7.620000000000006, -2.8400000000000016, 10.459999999999985, 8.420000000000003]"
58,2,"[-0.4000000000000001, -7.480000000000006, -2.8800000000000017, 10.739999999999984, 8.540000000000003]"
59,2,"[-0.4000000000000001, -7.580000000000006, -2.8800000000000017, 10.819999999999984, 8.660000000000004]"
60,2,"[-0.4000000000000001, -7.680000000000006, -2.8800000000000017, 10.899999999999984, 8.780000000000005]"
61,2,"[-0.4000000000000001, -7.780000000000006, -2.8800000000000017, 10.979999999999984, 8.900000000000006]"
62,4,"[-0.4000000000000001, -7.7000000000000055, -2.760000000000002, 11.279999999999983, 9.180000000000005]"
63,3,"[-0.6000000000000001, -9.020000000000005, -3.3800000000000026, 10.579999999999984, 9.040000000000006]"
64,2,"[-0.6000000000000001, -9.040000000000004, -3.480000000000003, 10.639999999999983, 9.060000000000008]"
65,2,"[-0.6000000000000001, -9.060000000000004, -3.5800000000000027, 10.699999999999982, 9.080000000000009]"
66,3,"[-0.4000000000000001, -7.640000000000003, -3.0800000000000023, 11.91999999999998, 9.42000000000001]"
67,3,"[-0.6000000000000001, -9.000000000000002, -3.780000000000002, 11.09999999999998, 9.220000000000011]"
68,2,"[-0.6000000000000001, -8.96, -3.8400000000000025, 11.21999999999998, 9.300000000000011]"
69,2,"[-0.6000000000000001, -8.940000000000001, -3.860000000000002, 11.339999999999979, 9.420000000000012]"
70,2,"[-0.6000000000000001, -8.920000000000002, -3.8800000000000017, 11.459999999999978, 9.540000000000013]"
71,2,"[-0.6000000000000001, -8.640000000000002, -3.840000000000001, 11.739999999999977, 9.700000000000014]"
72,4,"[-0.6000000000000001, -8.38, -3.5400000000000005, 12.139999999999976, 10.020000000000014]"
73,4,"[-0.6000000000000001, -8.280000000000001, -3.4600000000000004, 12.539999999999978, 10.240000000000014]"
74,3,"[-0.8, -9.700000000000001, -4.2, 11.659999999999979, 9.980000000000016]"
75,2,"[-0.8, -9.72, -4.3, 11.719999999999978, 10.000000000000018]"
76,2,"[-0.8, -9.74, -4.3999999999999995, 11.779999999999976, 10.02000000000002]"
77,2,"[-0.8, -9.76, -4.499999999999999, 11.839999999999975, 10.04000000000002]"
78,2,"[-0.8, -9.78, -4.599999999999999, 11.899999999999974, 10.060000000000022]"
79,2,"[-0.8, -9.799999999999999, -4.699999999999998, 11.959999999999972, 10.080000000000023]"
80,3,"[-0.6000000000000001, -8.379999999999999, -4.1999999999999975, 13.179999999999971, 10.420000000000025]"
81,3,"[-0.8, -9.739999999999998, -4.899999999999998, 12.359999999999971, 10.220000000000026]"
82,2,"[-0.8, -9.699999999999998, -4.959999999999998, 12.47999999999997, 10.300000000000026]"
83,2,"[-0.8, -9.659999999999997, -5.019999999999999, 12.59999999999997, 10.380000000000026]"
84,2,"[-0.8, -9.379999999999997, -4.979999999999999, 12.879999999999969, 10.540000000000026]"
85,2,"[-0.8, -9.179999999999996, -4.799999999999999, 13.099999999999968, 10.680000000000026]"
86,4,"[-0.8, -9.099999999999996, -4.68, 13.399999999999967, 10.960000000000026]"
87,4,"[-0.8, -9.119999999999994, -4.68, 13.519999999999966, 11.120000000000026]"
88,4,"[-0.8, -9.179999999999994, -4.860000000000001, 13.639999999999965, 11.200000000000026]"
89,4,"[-0.8, -9.239999999999993, -5.040000000000003, 13.759999999999966, 11.280000000000026]"
90,4,"[-0.8, -9.239999999999991, -5.140000000000004, 13.939999999999966, 11.400000000000027]"
91,4,"[-0.8, -9.099999999999993, -5.280000000000005, 14.259999999999966, 11.440000000000028]"
92,3,"[-1.0, -10.519999999999992, -6.020000000000006, 13.379999999999967, 11.18000000000003]"
93,2,"[-1.0, -10.539999999999992, -6.120000000000005, 13.439999999999966, 11.200000000000031]"
94,2,"[-1.0, -10.559999999999992, -6.220000000000005, 13.499999999999964, 11.220000000000033]"
95,2,"[-1.0, -10.579999999999991, -6.320000000000005, 13.559999999999963, 11.240000000000034]"
96,2,"[-1.0, -10.59999999999999, -6.420000000000004, 13.619999999999962, 11.260000000000035]"
97,2,"[-1.0, -10.61999999999999, -6.520000000000004, 13.67999999999996, 11.280000000000037]"
98,2,"[-1.0, -10.63999999999999, -6.620000000000004, 13.73999999999996, 11.300000000000038]"
99,2,"[-1.0, -10.65999999999999, -6.720000000000003, 13.799999999999958, 11.32000000000004]"
100,2,"[-1.0, -10.679999999999989, -6.820000000000003, 13.859999999999957, 11.34000000000004]"
101,3,"[-0.8, -9.119999999999989, -6.160000000000003, 15.199999999999957, 11.760000000000042]"
102,3,"[-1.0, -10.219999999999988, -6.8000000000000025, 14.539999999999957, 11.600000000000042]"
103,2,"[-1.0, -10.019999999999987, -6.620000000000003, 14.759999999999955, 11.740000000000043]"
104,4,"[-1.0, -9.859999999999985, -6.440000000000003, 14.979999999999954, 11.940000000000044]"
105,4,"[-1.0, -9.879999999999985, -6.440000000000003, 15.099999999999953, 12.100000000000044]"
106,4,"[-1.0, -9.899999999999984, -6.440000000000003, 15.219999999999953, 12.260000000000044]"
107,4,"[-1.0, -9.959999999999985, -6.6200000000000045, 15.339999999999954, 12.340000000000044]"
108,4,"[-1.0, -10.019999999999984, -6.800000000000006, 15.459999999999955, 12.420000000000044]"
109,4,"[-1.0, -10.019999999999982, -6.9000000000000075, 15.639999999999954, 12.540000000000045]"
110,4,"[-1.0, -9.879999999999983, -7.040000000000008, 15.959999999999955, 12.580000000000046]"
111,3,"[-1.2, -11.179999999999982, -7.780000000000009, 15.119999999999955, 12.300000000000047]"
112,2,"[-1.2, -11.199999999999982, -7.880000000000009, 15.179999999999954, 12.320000000000048]"
113,2,"[-1.2, -11.219999999999981, -7.980000000000008, 15.239999999999952, 12.34000000000005]"
114,2,"[-1.2, -11.23999999999998, -8.080000000000009, 15.299999999999951, 12.360000000000051]"
115,2,"[-1.2, -11.25999999999998, -8.18000000000001, 15.35999999999995, 12.380000000000052]"
116,2,"[-1.2, -11.27999999999998, -8.280000000000012, 15.419999999999948, 12.400000000000054]"
117,2,"[-1.2, -11.29999999999998, -8.380000000000013, 15.479999999999947, 12.420000000000055]"
118,2,"[-1.2, -11.319999999999979, -8.480000000000015, 15.539999999999946, 12.440000000000056]"
119,2,"[-1.2, -11.339999999999979, -8.580000000000016, 15.599999999999945, 12.460000000000058]"
120,2,"[-1.2, -11.359999999999978, -8.680000000000017, 15.659999999999943, 12.480000000000059]"
121,2,"[-1.2, -11.379999999999978, -8.780000000000019, 15.719999999999942, 12.50000000000006]"
122,2,"[-1.2, -11.399999999999977, -8.88000000000002, 15.77999999999994, 12.520000000000062]"
123,2,"[-1.2, -11.419999999999977, -8.980000000000022, 15.83999999999994, 12.540000000000063]"
