epoch,error,weights
1,14,"[0.7504497373225507, -0.4973015760646926, 0.3083892720082134, -0.07128362763676209, 0.666672149137979]"
2,4,"[0.7504497373225507, -0.5497272395564953, 0.3083892720082134, -0.19678748872319857, 0.6110691727072792]"
3,4,"[0.7787675686979163, -0.43645591405503315, 0.4032540071156879, -0.2024510549982717, 0.599742040157133]"
4,2,"[0.7787675686979163, -0.4515988903225578, 0.40577783649360866, -0.2440942397339645, 0.5820752345116875]"
5,3,"[0.7900143952017232, -0.41111031490885264, 0.4428923639561717, -0.26321384479043636, 0.5697037253574998]"
6,2,"[0.7900143952017232, -0.41211268937610723, 0.45091135969420804, -0.2882732064718, 0.5576752317504453]"
7,1,"[0.7989480670447425, -0.36655096297670897, 0.48217921114477547, -0.27576606589157304, 0.5594619661190492]"
8,0,"[0.7989480670447425, -0.36655096297670897, 0.48217921114477547, -0.27576606589157304, 0.5594619661190492]"
9,0,"[0.7989480670447425, -0.36655096297670897, 0.48217921114477547, -0.27576606589157304, 0.5594619661190492]"
10,0,"[0.7989480670447425, -0.36655096297670897, 0.48217921114477547, -0.27576606589157304, 0.5594619661190492]"
11,0,"[0.7989480670447425, -0.36655096297670897, 0.48217921114477547, -0.27576606589157304, 0.5594619661190492]"
