epoch,error,weights
1,3,"[-0.1, -0.6799999999999999, -0.42, -0.14000000000000012, 0.24]"
2,2,"[-0.1, -0.5399999999999998, -0.4399999999999999, -0.40000000000000024, 0.020000000000000018]"
3,2,"[-0.1, -0.3999999999999997, -0.4599999999999998, -0.6600000000000004, -0.2]"
4,2,"[-0.1, -0.25999999999999956, -0.4799999999999997, -0.9200000000000005, -0.42000000000000004]"
5,2,"[-0.1, -0.11999999999999944, -0.4999999999999996, -1.1800000000000006, -0.6400000000000001]"
6,2,"[-0.1, 0.020000000000000684, -0.5199999999999996, -1.4400000000000008, -0.8600000000000001]"
7,2,"[-0.1, 0.1600000000000008, -0.5399999999999995, -1.700000000000001, -1.08]"
8,2,"[-0.1, 0.30000000000000093, -0.5599999999999994, -1.9600000000000013, -1.3]"
9,2,"[-0.1, 0.44000000000000106, -0.5799999999999993, -2.2200000000000015, -1.52]"
10,2,"[-0.1, 0.5800000000000012, -0.5999999999999992, -2.4800000000000018, -1.74]"
11,2,"[-0.1, 0.8200000000000014, -0.4999999999999991, -2.560000000000002, -1.8399999999999999]"
12,2,"[-0.1, 0.9600000000000015, -0.519999999999999, -2.820000000000002, -2.0599999999999996]"
13,2,"[-0.1, 1.2000000000000017, -0.41999999999999893, -2.900000000000002, -2.1599999999999997]"
14,4,"[-0.10000000000000003, 1.600000000000002, -0.4999999999999988, -2.5400000000000023, -2.1199999999999997]"
15,4,"[-0.10000000000000003, 2.0000000000000027, -0.5799999999999986, -2.1800000000000024, -2.0799999999999996]"
16,3,"[-0.30000000000000004, 1.2200000000000026, -1.1799999999999986, -2.5400000000000023, -2.2199999999999998]"
17,2,"[-0.30000000000000004, 1.3600000000000028, -1.1999999999999984, -2.8000000000000025, -2.4399999999999995]"
18,2,"[-0.30000000000000004, 1.600000000000003, -1.0999999999999983, -2.8800000000000026, -2.5399999999999996]"
19,4,"[-0.3, 1.8600000000000037, -1.279999999999998, -2.480000000000003, -2.5]"
20,4,"[-0.3, 2.2600000000000042, -1.359999999999998, -2.120000000000003, -2.46]"
21,5,"[-0.5, 1.1200000000000039, -2.0399999999999983, -2.860000000000003, -2.6800000000000006]"
22,3,"[-0.3, 2.5400000000000045, -1.4199999999999982, -2.2200000000000033, -2.6000000000000005]"
23,3,"[-0.5, 1.7600000000000044, -2.0199999999999982, -2.580000000000003, -2.7400000000000007]"
24,2,"[-0.5, 2.0000000000000044, -1.9199999999999982, -2.6600000000000033, -2.8400000000000007]"
25,2,"[-0.5, 2.140000000000005, -1.9399999999999982, -2.9200000000000035, -3.060000000000001]"
26,4,"[-0.49999999999999994, 2.4000000000000057, -2.1199999999999983, -2.520000000000004, -3.0200000000000014]"
27,4,"[-0.49999999999999994, 2.800000000000006, -2.1999999999999984, -2.160000000000004, -2.9800000000000013]"
28,4,"[-0.49999999999999994, 3.0400000000000063, -2.3199999999999985, -1.8000000000000043, -2.9400000000000013]"
29,3,"[-0.7, 2.260000000000006, -2.9199999999999986, -2.160000000000004, -3.0800000000000014]"
30,2,"[-0.7, 2.4000000000000066, -2.9399999999999986, -2.4200000000000044, -3.3000000000000016]"
31,2,"[-0.7, 2.640000000000007, -2.8399999999999985, -2.5000000000000044, -3.4000000000000017]"
32,4,"[-0.7, 3.1600000000000072, -2.6799999999999984, -2.1200000000000045, -3.3800000000000017]"
33,4,"[-0.7, 3.4000000000000075, -2.7999999999999985, -1.7600000000000047, -3.3400000000000016]"
34,3,"[-0.8999999999999999, 2.620000000000007, -3.3999999999999986, -2.1200000000000045, -3.4800000000000018]"
35,2,"[-0.8999999999999999, 2.760000000000008, -3.4199999999999986, -2.380000000000005, -3.700000000000002]"
36,2,"[-0.8999999999999999, 3.000000000000008, -3.3199999999999985, -2.460000000000005, -3.800000000000002]"
37,4,"[-0.8999999999999999, 3.3200000000000083, -3.3999999999999986, -2.0800000000000054, -3.7600000000000025]"
38,4,"[-0.8999999999999999, 3.580000000000009, -3.5599999999999987, -1.7200000000000055, -3.7600000000000025]"
39,5,"[-1.0999999999999999, 2.4600000000000097, -4.239999999999998, -2.4800000000000058, -4.080000000000003]"
40,3,"[-0.8999999999999999, 3.8800000000000106, -3.6199999999999983, -1.840000000000006, -4.000000000000003]"
