epoch,error,weights
1,2,"[0.1, 0.43999999999999995, 0.25999999999999995, 1.3200000000000003, 0.96]"
2,3,"[-0.10000000000000003, -0.7200000000000002, -0.42000000000000026, 1.3000000000000003, 1.14]"
3,2,"[-0.10000000000000003, -0.8600000000000001, -0.40000000000000047, 1.5600000000000005, 1.3599999999999999]"
4,2,"[-0.10000000000000003, -1.0000000000000002, -0.38000000000000045, 1.8200000000000007, 1.5799999999999998]"
5,2,"[-0.10000000000000003, -1.1400000000000003, -0.36000000000000043, 2.080000000000001, 1.7999999999999998]"
6,2,"[-0.10000000000000003, -1.2800000000000005, -0.3400000000000004, 2.340000000000001, 2.0199999999999996]"
7,2,"[-0.10000000000000003, -1.4200000000000006, -0.3200000000000005, 2.6000000000000014, 2.2399999999999993]"
8,2,"[-0.10000000000000003, -1.5600000000000007, -0.3000000000000006, 2.8600000000000017, 2.459999999999999]"
9,2,"[-0.10000000000000003, -1.7000000000000008, -0.2800000000000007, 3.120000000000002, 2.6799999999999993]"
10,2,"[-0.10000000000000003, -1.840000000000001, -0.2600000000000008, 3.380000000000002, 2.8999999999999995]"
11,2,"[-0.10000000000000003, -1.980000000000001, -0.24000000000000088, 3.6400000000000023, 3.1199999999999997]"
12,2,"[-0.10000000000000003, -2.120000000000001, -0.22000000000000097, 3.9000000000000026, 3.34]"
13,2,"[-0.10000000000000003, -2.360000000000001, -0.32000000000000106, 3.9800000000000026, 3.44]"
14,2,"[-0.10000000000000003, -2.5000000000000018, -0.30000000000000115, 4.240000000000003, 3.66]"
15,2,"[-0.10000000000000003, -2.740000000000002, -0.40000000000000124, 4.320000000000003, 3.7600000000000002]"
16,2,"[-0.10000000000000003, -2.8800000000000026, -0.38000000000000134, 4.580000000000004, 3.9800000000000004]"
17,2,"[-0.10000000000000003, -3.1200000000000028, -0.4800000000000013, 4.660000000000004, 4.080000000000001]"
18,2,"[-0.10000000000000003, -3.2600000000000033, -0.4600000000000014, 4.9200000000000035, 4.300000000000001]"
19,2,"[-0.10000000000000003, -3.5000000000000036, -0.5600000000000014, 5.0000000000000036, 4.4]"
