epoch,error,weights
1,71,"[0.07900492908129252, -0.040443726056955634, -0.03129076504234625, -0.01627383435747337, 0.049296225209213354]"
2,68,"[0.11077805847026378, 0.0024499986181554523, -0.10913493204532596, -0.005153239071333374, -0.026959285324317687]"
3,69,"[0.12493697415794655, -0.042858531582429485, -0.21107912499664194, -0.02780750417162571, -0.09209029748765837]"
4,70,"[0.15017526793715427, -0.012572579047380322, -0.26534145662193837, 0.005002277741344471, -0.1425668850460739]"
5,68,"[0.17266892094476824, 0.023417265764801992, -0.30133130143412074, 0.026371248098577757, -0.19205292166282462]"
6,64,"[0.1927164102898591, 0.04246238064263823, -0.33741678225528415, 0.0414068651073959, -0.22513127908222447]"
7,66,"[0.21058375397589765, 0.06300982588158245, -0.3552841259413228, 0.05302063850332104, -0.26265270082290526]"
8,64,"[0.22650804079803752, 0.08610004177368533, -0.35608034028242974, 0.059390353232176986, -0.28813155973832905]"
9,63,"[0.23360430858270903, 0.07829414721054666, -0.361757354510167, 0.05939035323217701, -0.30516260242154075]"
10,53,"[0.2399288639030458, 0.07955905827461397, -0.34278368854915675, 0.040416687271166755, -0.31970907965831574]"
11,57,"[0.2455656297655747, 0.07166758606707345, -0.3433473651354097, 0.05619963168624775, -0.31576334355454466]"
12,56,"[0.255613175491613, 0.07618898164379068, -0.32676891468744657, 0.05971627269036116, -0.3122467025504312]"
13,60,"[0.2645680600458864, 0.08200965660406836, -0.31288884362832275, 0.05882078423493381, -0.31179895832271776]"
14,57,"[0.26855858467582416, 0.08081249921508699, -0.3057058992944346, 0.062412256401877794, -0.30820748615577326]"
15,49,"[0.272115143495902, 0.07725594039500913, -0.2911240081321155, 0.05743307405376878, -0.3067848626277424]"
16,55,"[0.2752849298808242, 0.07598802584104022, -0.2822486062543332, 0.06091983907718328, -0.30107924713488243]"
17,55,"[0.2781100049700697, 0.0737279657696438, -0.2726433509508984, 0.05639971893439047, -0.299384202081335]"
18,47,"[0.28062785579365807, 0.07473510609907912, -0.26055766699767435, 0.0569032890991081, -0.29711813634010553]"
19,50,"[0.28062785579365807, 0.05723161821196849, -0.25988445592509324, 0.05398604111792306, -0.2919568514503166]"
20,51,"[0.28262785579365807, 0.05523161821196852, -0.2522844559250932, 0.05238604111792304, -0.2881568514503165]"
21,45,"[0.28441035766992556, 0.055231618211968495, -0.24408494729426278, 0.05523804411995101, -0.28173984469575314]"
22,47,"[0.2859990141393741, 0.0538018273894648, -0.2369359931817442, 0.05619123800162016, -0.27681500964046274]"
23,45,"[0.2874149057081424, 0.0532354707619575, -0.23056448112228686, 0.05845666451164936, -0.2715762108360199]"
24,44,"[0.2874149057081424, 0.04944972669507631, -0.22640016264871757, 0.05870904744944145, -0.26753808383134675]"
25,44,"[0.2874149057081424, 0.04585074221385805, -0.22358845602276578, 0.062308031930659646, -0.2621396071095195]"
26,45,"[0.2884172801753969, 0.0463519294474853, -0.2179751590061403, 0.06541539277914876, -0.2578293969003249]"
27,44,"[0.2884172801753969, 0.043135807583998376, -0.21493771057951375, 0.06550472949757893, -0.2547919484736987]"
28,45,"[0.2892134945165039, 0.044489371963880295, -0.20984193879642896, 0.06853034399378545, -0.25120898393871716]"
29,45,"[0.28992312129497105, 0.04385070786325985, -0.20586802883701288, 0.06824649328239858, -0.24900914092546905]"
30,45,"[0.2905555768270047, 0.04359772565044636, -0.20188355898520077, 0.06742430109075481, -0.2472382654357748]"
31,42,"[0.2905555768270047, 0.04134301930543479, -0.20002342625056627, 0.06759340406663068, -0.24492719143213795]"
32,43,"[0.29105795411330665, 0.04179515886310649, -0.19700916253275474, 0.06905029819690622, -0.24231482954336775]"
33,42,"[0.29105795411330665, 0.03991463310670906, -0.19557638100407101, 0.06896074935136351, -0.24038952936419897]"
34,43,"[0.2914570065763004, 0.04027378032340345, -0.19322197147240777, 0.07035743297184173, -0.23819474081773315]"
35,42,"[0.2914570065763004, 0.03878002561897076, -0.1920838726499829, 0.07028630179544017, -0.23666542052509953]"
36,42,"[0.2914570065763004, 0.03744871533730343, -0.19097444741526012, 0.07066667616163082, -0.23523901665188449]"
37,43,"[0.29173951408522497, 0.037928978102475155, -0.18919465010903544, 0.07176845544643659, -0.23368522535279937]"
38,40,"[0.29173951408522497, 0.03697219478951159, -0.18828822381254365, 0.07227202561115423, -0.23245147844924122]"
39,38,"[0.29173951408522497, 0.03569309375160737, -0.18748037052544625, 0.07193542007486368, -0.23164362516214382]"
40,41,"[0.29193951408522495, 0.03617309375160737, -0.18618037052544623, 0.07313542007486368, -0.2304036251621438]"
41,38,"[0.29193951408522495, 0.035174892700897575, -0.1855208448312273, 0.07267196958703415, -0.22981539954297558]"
42,39,"[0.2920983797321698, 0.03531787178314798, -0.18448821812608573, 0.0729897008809239, -0.22905284443764035]"
43,37,"[0.29223996888904663, 0.035232918289021885, -0.18351125294363566, 0.07287642955542242, -0.22857144130425916]"
44,37,"[0.29236616035794266, 0.03514458426079466, -0.18265315095514262, 0.07273761893963679, -0.22814239031001288]"
45,37,"[0.29247862862298074, 0.035065856475268026, -0.18188836675288375, 0.07261390384809494, -0.22775999820888346]"
46,39,"[0.2925788660697062, 0.03520618890068365, -0.18119672837047812, 0.07282440248621842, -0.2272888822092737]"
47,38,"[0.2925788660697062, 0.03478630632406175, -0.18083044782491434, 0.07265466272120107, -0.22698513736661102]"
48,39,"[0.2926584875038169, 0.03489777633181673, -0.18028105992955046, 0.07282186773283354, -0.22661091662629076]"
49,39,"[0.29272945018166363, 0.035032605419725506, -0.17977722491683878, 0.07299927442745033, -0.22627029577262656]"
50,38,"[0.29272945018166363, 0.03473535131966967, -0.1795179181487049, 0.0728791078763639, -0.22605526089173514]"
51,40,"[0.29272945018166363, 0.03448733362171839, -0.1792586269190286, 0.07273818872980066, -0.22589179468172177]"
52,39,"[0.2927796879102938, 0.0345124524860335, -0.17887179640857614, 0.07268795100117048, -0.2257410814958313]"
53,39,"[0.29282446233306514, 0.034602001331576225, -0.1785449431223451, 0.07281331938493031, -0.22552616426652888]"
